Category,Phrases,Number of Words,Total Number of Letters,First Word Letters
Food and Drink,Chocolate Macadamia Clusters,3,26,9
Food and Drink,Chocolate Macaroons,2,18,9
Food and Drink,Chocolate Malt,2,13,9
Food and Drink,Chocolate Marble Sheet Cake,4,24,9
Food and Drink,Chocolate Marshmallow Hearts,3,26,9
Food and Drink,Chocolate Marzipan,2,17,9
Food and Drink,Chocolate Meringue Pie,3,20,9
Food and Drink,Chocolate Milk,2,13,9
Food and Drink,Chocolate Milk Shake,3,18,9
Food and Drink,Chocolate Milkshake,2,18,9
Food and Drink,Chocolate Mills Wafers,3,20,9
Food and Drink,Chocolate Mousse,2,15,9
Food and Drink,Chocolate Mousse Cake,3,19,9
Food and Drink,Chocolate Mousse Pie,3,18,9
Food and Drink,Chocolate Nilla Wafers,3,20,9
Food and Drink,Chocolate Nut Brownie,3,19,9
Food and Drink,Chocolate Oatmeal Cookies,3,23,9
Food and Drink,Chocolate Peanut Butter Cheesecake,4,31,9
Food and Drink,Chocolate- Peppermint Crunch Cookies,4,32,9
Food and Drink,Chocolate Peppermint Fudge,3,24,9
Food and Drink,Chocolate Protein Shake,3,21,9
Food and Drink,Chocolate Pudding,2,16,9
Food and Drink,Chocolate Raspberry Almond Torte,4,29,9
Food and Drink,Chocolate Saltwater Taffy,3,23,9
Food and Drink,Chocolate Sauce & Whipped Cream,4,26,9
Food and Drink,Chocolate Sculptures,2,19,9
Food and Drink,Chocolate Shake,2,14,9
Food and Drink,Chocolate Souffle,2,16,9
Food and Drink,Chocolate Souffle Cake,3,20,9
Food and Drink,Chocolate- Souffle Cake,3,20,9
Food and Drink,Chocolate Syrup,2,14,9
Food and Drink,Chocolate Toffee,2,15,9
Food and Drink,Chocolate Truffle Cake,3,20,9
Food and Drink,Chocolate Truffle Cheesecake,3,26,9
Food and Drink,Chocolate Truffles,2,17,9
Food and Drink,Chocolate- Vanilla Swirl Frozen Yogurt,5,33,9
Food and Drink,Chocolate Whipped Cream,3,21,9
Food and Drink,Chocolate Yogurt,2,15,9
Food and Drink,Chocolate Yule Log,3,16,9
Food and Drink,Chocolate-Apricot Cookies,2,23,16
Food and Drink,Chocolate-Cake Batter,2,19,13
Food and Drink,Chocolate-Caramel Cake,2,20,16
Food and Drink,Chocolate-Caramel Fondue,2,22,16
Food and Drink,Chocolate-Caramel Marshmallows,2,28,16
Food and Drink,Chocolate-Caramel Pretzel Bites,3,28,16
Food and Drink,Chocolate-Carmel Cake,2,19,15
Food and Drink,Chocolate-Cheesecake Dip,2,22,19
Food and Drink,Chocolate-Cherry Brownies,2,23,15
Food and Drink,Chocolate-Cherry Soda,2,19,15
Food and Drink,Chocolate-Chip Cookie-Dough Ice Cream,4,32,13
Food and Drink,Chocolate-Chip Ice Cream With Caramel Sauce,6,37,13
Food and Drink,Chocolate-Chip Pancakes,2,21,13
Food and Drink,Chocolate-Chip Skillet Cookies,3,27,13
Food and Drink,Chocolate-Chunk Granola Bars,3,25,14
Food and Drink,Chocolate-Coconut Cupcakes,2,24,16
Food and Drink,Chocolate-Cookie Sandwiches,2,25,15
Food and Drink,Chocolate-Covered Bananas,2,23,16
Food and Drink,Chocolate-Covered Marshmallows,2,28,16
Food and Drink,Chocolate-Covered Nuts,2,20,16
Food and Drink,Chocolate-Covered Raisins,2,23,16
Food and Drink,Chocolate-Covered Shortbread Cookies,3,33,16
Food and Drink,Chocolate-Covered Strawberries,2,28,16
Food and Drink,Chocolate-Cream Cheese Coffee Cake,4,30,14
Food and Drink,Chocolate-Cream-Filled Doughnut,2,28,20
Food and Drink,Chocolate-Dipped Cannoli,2,22,15
Food and Drink,Chocolate-Dipped Cherries,2,23,15
Food and Drink,Chocolate-Dipped Figs,2,19,15
Food and Drink,Chocolate-Dipped Gingersnaps,2,26,15
Food and Drink,Chocolate-Dipped Pretzel Sticks,3,28,15
Food and Drink,Chocolate-Dipped Raspberries,2,26,15
Food and Drink,Chocolate-Dipped Sugar Cookies,3,27,15
Food and Drink,Chocolate-Dipped Waffle Cone,3,25,15
Food and Drink,Chocolate-Eclair Cake,2,19,15
Food and Drink,Chocolate-Espresso Martini,2,24,17
Food and Drink,Chocolate-Frosted Doughnuts With Sprinkles,4,38,16
Food and Drink,Chocolate-Fudge Shake,2,19,14
Food and Drink,Chocolate-Marshmallow Hearts,2,26,20
Food and Drink,Chocolate-Nut Brownie,2,19,12
Food and Drink,Chocolate-Peppermint Crunch Cookies,3,32,19
Food and Drink,Chocolate-Peppermint Fudge,2,24,19
Food and Drink,Chocolate-Peppermint Pretzel Rods,3,30,19
Food and Drink,Chocolate-Pudding Dessert Cups,3,27,16
Food and Drink,Chocolate-Raspberry Martini,2,25,18
Food and Drink,Chocolate-Raspberry Martinis,2,26,18
Food and Drink,Chocolate-Raspberry-Almond Torte,2,29,24
Food and Drink,Chocolates Filled With Gooey Caramel,5,32,10
Food and Drink,Chocolates On My Pillow,4,20,10
Food and Drink,Chocolate-Souffle Cake,2,20,16
Food and Drink,Chocolate-Truffle Cake,2,20,16
Food and Drink,Chocolate-Vanilla Swirl Frozen Yogurt,4,33,16
Food and Drink,Chocolatey Brownie Bites,3,22,10
Food and Drink,Chocolaty Desserts,2,17,9
Food and Drink,Choice Cuts Of Steak,4,17,6
Food and Drink,Chop Suey,2,8,4
Food and Drink,Chopped Celery,2,13,7
Food and Drink,Chopped Chicken Liver,3,19,7
Food and Drink,Chopped Chicken Salad,3,19,7
Food and Drink,Chopped Chives,2,13,7
Food and Drink,Chopped Dates & Figs,3,16,7
Food and Drink,Chopped Dates And Figs,4,19,7
Food and Drink,Chopped Fish On Toast,4,18,7
Food and Drink,Chopped Fruit,2,12,7
Food and Drink,Chopped Garlic,2,13,7
Food and Drink,Chopped Green Onions,3,18,7
Food and Drink,Chopped Hard-Cooked Eggs,3,21,7
Food and Drink,Chopped Hazelnuts,2,16,7
Food and Drink,Chopped Mallow Leaves,3,19,7
Food and Drink,Chopped Mushrooms,2,16,7
Food and Drink,Chopped Nuts & Honey Syrup,4,21,7
Food and Drink,Chopped Onions,2,13,7
Food and Drink,Chopped Parsley,2,14,7
Food and Drink,Chopped Peanuts,2,14,7
Food and Drink,Chopped Pecans,2,13,7
Food and Drink,Chopped Potatoes,2,15,7
Food and Drink,Chopped Red Onions,3,16,7
Food and Drink,Chopped Tarragon,2,15,7
Food and Drink,Chopped Tuna & Rice,3,15,7
Food and Drink,Chopped Tuna And Rice,4,18,7
Food and Drink,Chopped Veggie Mix,3,16,7
Food and Drink,Chopped Veggies,2,14,7
Food and Drink,Chopped Walnuts,2,14,7
Food and Drink,Chopped-Veggie Mix,2,16,13
Food and Drink,Chorizo & Onion,2,12,7
Food and Drink,Chow Mein,2,8,4
Food and Drink,Chow-Mein Noodle Casserole,3,23,8
Food and Drink,Christmas Cabbage Soup,3,20,9
Food and Drink,Christmas Candy,2,14,9
Food and Drink,Christmas Cookies,2,16,9
Food and Drink,Chuck Of Dark Chocolate,4,20,5
Food and Drink,Chunk Of Dark Chocolate,4,20,5
Food and Drink,Chunks Of Fresh Ginger,4,19,6
Food and Drink,Chunks Of Fruit,3,13,6
Food and Drink,Chunky Almond Butter,3,18,6
Food and Drink,Chunky Applesauce,2,16,6
Food and Drink,Chunky Avocado Salad,3,18,6
Food and Drink,Chunky Butterscotch Brownies,3,26,6
Food and Drink,Chunky Chocolate Bar,3,18,6
Food and Drink,Chunky Peanut Butter,3,18,6
Food and Drink,Chunky Steak With Hot Apple Pie,6,26,6
Food and Drink,Chunky-Avocado Salad,2,18,13
Food and Drink,Chur Meat Pie,3,11,4
Food and Drink,Churned Sweet Butter,3,18,7
Food and Drink,Churros & Chocolate,2,16,7
Food and Drink,Churros Rolled In Sugar & Cinnamon,5,28,7
Food and Drink,Churros With Chocolate Sauce,4,25,7
Food and Drink,Churros With Cinnamon & Sugar,4,24,7
Food and Drink,Churros With Cinnamon And Sugar,5,27,7
Food and Drink,Churros With Coconut Sauce,4,23,7
Food and Drink,Cilantro & Cinnamon,2,16,8
Food and Drink,Cilantro Yogurt,2,14,8
Food and Drink,Cinammon Hearts,2,14,8
Food and Drink,Cinnamon & Chocolate Twists,3,23,8
Food and Drink,Cinnamon & Nutmeg,2,14,8
Food and Drink,Cinnamon & Sugar,2,13,8
Food and Drink,Cinnamon & Sugar Spices,3,19,8
Food and Drink,Cinnamon Apple Butter,3,19,8
Food and Drink,Cinnamon Apple Dip,3,16,8
Food and Drink,Cinnamon Apple Tarts,3,18,8
Food and Drink,Cinnamon Apples,2,14,8
Food and Drink,Cinnamon Bears,2,13,8
Food and Drink,Cinnamon Bran Muffin,3,18,8
Food and Drink,Cinnamon Bread With Butter,4,23,8
Food and Drink,Cinnamon Buns,2,12,8
Food and Drink,Cinnamon Cake With Caramel Sauce,5,28,8
Food and Drink,Cinnamon Churros,2,15,8
Food and Drink,Cinnamon Cookie,2,14,8
Food and Drink,Cinnamon Cream Cheese,3,19,8
Food and Drink,Cinnamon Crumb Cake,3,17,8
Food and Drink,Cinnamon Flavored Oatmeal,3,23,8
Food and Drink,Cinnamon Hash Browns,3,18,8
Food and Drink,Cinnamon Hearts,2,14,8
Food and Drink,Cinnamon Peach Crisp,3,18,8
Food and Drink,Cinnamon Pita Chips,3,17,8
Food and Drink,Cinnamon Pumpkin Latte,3,20,8
Food and Drink,Cinnamon- Raisin Bread,3,19,8
Food and Drink,Cinnamon Raisin Muffins,3,21,8
Food and Drink,Cinnamon Raison Muffins,3,21,8
Food and Drink,Cinnamon Roll,2,12,8
Food and Drink,Cinnamon Rolls,2,13,8
Food and Drink,Cinnamon Soup,2,12,8
Food and Drink,Cinnamon Sticks & Whole Cloves,4,25,8
Food and Drink,Cinnamon Sticky Buns,3,18,8
Food and Drink,Cinnamon Sugar,2,13,8
Food and Drink,Cinnamon Sugar & Raisins,3,20,8
Food and Drink,Cinnamon Sugar And Raisins,4,23,8
Food and Drink,Cinnamon Sugared Doughnuts,3,24,8
Food and Drink,Cinnamon Swirl Bread,3,18,8
Food and Drink,Cinnamon Toast Crunch,3,19,8
Food and Drink,Cinnamon Vanilla Sunflower Butter,4,30,8
Food and Drink,Cinnamon-Apple Butter,2,19,13
Food and Drink,Cinnamon-Apple Dip,2,16,13
Food and Drink,Cinnamon-Flavored Hot Chocolate,3,28,16
Food and Drink,Cinnamon-Peach Crisp,2,18,13
Food and Drink,Cinnamon-Pecan Rolls,2,18,13
Food and Drink,Cinnamon-Pumpkin Latte,2,20,15
Food and Drink,Cinnamon-Raisin Bread,2,19,14
Food and Drink,Cinnamon-Raisin Muffins,2,21,14
Food and Drink,Cinnamon-Streusel Cookie Cake,3,26,16
Food and Drink,Cinnamon-Sugar Soft Pretzels,3,25,13
Food and Drink,Cinnamon-Sugared Doughnuts,2,24,15
Food and Drink,Cinnamon-Swirl Bread,2,18,13
Food and Drink,Cinnamon-Swirl Coffeecake,2,23,13
Food and Drink,Cinnamon-Swirl Coffeemaker,2,24,13
Food and Drink,Cinnamon-Vanilla Granola,2,22,15
Food and Drink,Cinnamon-Vanilla Sunflower Butter,3,30,15
Food and Drink,Citron Tart,2,10,6
Food and Drink,Citrus Fruit Salad,3,16,6
Food and Drink,Citrus Mustard Vinaigrette,3,24,6
Food and Drink,Citrus Salsa,2,11,6
Food and Drink,Citrus-Mustard Vinaigrette,2,24,13
Food and Drink,Clam Chowder,2,11,4
Food and Drink,Clam Dip,2,7,4
Food and Drink,Clam Sauce,2,9,4
Food and Drink,Clambake,1,8,8
Food and Drink,Clams In White Wine Sauce,5,21,5
Food and Drink,Class Ring,2,9,5
Food and Drink,Classic Baked Macaroni & Cheese,4,26,7
Food and Drink,Classic Cinnabons,2,16,7
Food and Drink,Classic Coffeecake,2,17,7
Food and Drink,Classic Corn Salad,3,16,7
Food and Drink,Classic Creamy Pudding,3,20,7
Food and Drink,Classic Grilled Artichokes,3,24,7
Food and Drink,Classic Layer Cake,3,16,7
Food and Drink,Classic Meals,2,12,7
Food and Drink,Classic Mojito With Mint Leaves,5,27,7
Food and Drink,Classic Pecan Pie,3,15,7
Food and Drink,Classic Side Dishes,3,17,7
Food and Drink,Classic Sugar Cookies,3,19,7
Food and Drink,Classic Vegetable Soup,3,20,7
Food and Drink,Clementine Sorbet,2,16,10
Food and Drink,Clingstone Nectarines,2,20,10
Food and Drink,Clootie Dumpling,2,15,7
Food and Drink,Clotted Cream,2,12,7
Food and Drink,Clove Cumin & Curry,3,15,5
Food and Drink,Cloves Of Garlic,3,14,6
Food and Drink,Club Crackers,2,12,4
Food and Drink,Club Sandwich,2,12,4
Food and Drink,Club Sandwich On Focaccia Bread,5,27,4
Food and Drink,Club Soda,2,8,4
Food and Drink,Clumpy Mashed Potatoes,3,20,6
Food and Drink,Coalfish Tartare,2,15,8
Food and Drink,Coarse Sea Salt & Ground White Pepper,6,30,6
Food and Drink,Coarsely Chopped Walnuts,3,22,8
Food and Drink,Cobb Salad,2,9,4
Food and Drink,Cocktail Franks,2,14,8
Food and Drink,Cocktail Garnish,2,15,8
Food and Drink,Cocktail Meatballs,2,17,8
Food and Drink,Cocktail Onions,2,14,8
Food and Drink,Cocktail Wieners,2,15,8
Food and Drink,Cocoa Powder,2,11,5
Food and Drink,Cocoa Puffs,2,10,5
Food and Drink,Coconut,1,7,7
Food and Drink,Coconut & Cherries Smothered In Chocolate,5,35,7
Food and Drink,Coconut & Cherriessmothered In Chocolate,4,35,7
Food and Drink,Coconut Bars,2,11,7
Food and Drink,Coconut Cardamom & Nuts,3,19,7
Food and Drink,Coconut Cherries Smothered In Chocolate,5,35,7
Food and Drink,Coconut Cream,2,12,7
Food and Drink,Coconut Cream Curry Over Egg Noodles,6,31,7
Food and Drink,Coconut Cream Pie,3,15,7
Food and Drink,Coconut Cream Pie With Flaky Crust,6,29,7
Food and Drink,Coconut Cupcakes With Lemon Curd Topping,6,35,7
Food and Drink,Coconut Flour,2,12,7
Food and Drink,Coconut Juice With Pulp,4,20,7
Food and Drink,Coconut Milk,2,11,7
Food and Drink,Coconut Milk & Banana Smoothie,4,25,7
Food and Drink,Coconut Milk & Fresh Juice,4,21,7
Food and Drink,Coconut Milk And Banana Smoothie,5,28,7
Food and Drink,Coconut Mushroom Soup,3,19,7
Food and Drink,Coconut- Pineapple Smoothie,3,24,7
Food and Drink,Coconut Pudding,2,14,7
Food and Drink,Coconut Scones,2,13,7
Food and Drink,Coconut Sheet Cake,3,16,7
Food and Drink,Coconut Shrimp & Fries,3,18,7
Food and Drink,Coconut Water,2,12,7
Food and Drink,Coconut-Curry Braised Chicken,3,26,12
Food and Drink,Coconut-Mushroom Soup,2,19,15
Food and Drink,Coconut-Pecan Cupcakes,2,20,12
Food and Drink,Coconut-Pineapple Smoothie,2,24,16
Food and Drink,Cod Served With Polenta,4,20,3
Food and Drink,Cod Soup,2,7,3
Food and Drink,Codfish Casserole,2,16,7
Food and Drink,Codfish With Cream,3,16,7
Food and Drink,Coffee & Cake,2,10,6
Food and Drink,Coffee & Cream,2,11,6
Food and Drink,Coffee & Doughnuts,2,15,6
Food and Drink,Coffee & Pastries,2,14,6
Food and Drink,Coffee And Doughnuts,3,18,6
Food and Drink,Coffee Beans,2,11,6
Food and Drink,Coffee Cake With Cinnamon Crumble,5,29,6
Food and Drink,Coffee Candy,2,11,6
Food and Drink,Coffee Company,2,13,6
Food and Drink,Coffee Creamer,2,13,6
Food and Drink,Coffee Flavored Ice Cream,4,22,6
Food and Drink,Coffee Ice Cream,3,14,6
Food and Drink,Coffee In A To-Go Cup,5,16,6
Food and Drink,Coffee Liqueur Ganache Icing,4,25,6
Food and Drink,Coffee Milk,2,10,6
Food and Drink,Coffee Milkshake,2,15,6
Food and Drink,Coffee Mill,2,10,6
Food and Drink,Coffee Sundae,2,12,6
Food and Drink,Coffee Table Book,3,15,6
Food and Drink,Coffee With A Pinch Of Cardamom,6,26,6
Food and Drink,Coffee With A Pinch Of Irish Cream,7,28,6
Food and Drink,Coffee With Cinnamon,3,18,6
Food and Drink,Coffee With Coconut Oil,4,20,6
Food and Drink,Coffee With Cream,3,15,6
Food and Drink,Coffee With Cream & Sugar,4,20,6
Food and Drink,Coffee With Flavored Creamer,4,25,6
Food and Drink,Coffee With Milk,3,14,6
Food and Drink,Coffee With Sugar & Cream,4,20,6
Food and Drink,Coffee-Flavored Ice Cream,3,22,14
Food and Drink,Cognac Marzipan,2,14,6
Food and Drink,Colby Jack Cheese,3,15,5
Food and Drink,Cold Bottle Of Beer With A Wedge Of Lime,9,32,4
Food and Drink,Cold Brew Coffee Floats,4,20,4
Food and Drink,Cold Brewed Coffee,3,16,4
Food and Drink,Cold Bright-Green Lime Slices,4,25,4
Food and Drink,Cold Chicken Breast,3,17,4
Food and Drink,Cold Coconut Water,3,16,4
Food and Drink,Cold Macaroni Salad,3,17,4
Food and Drink,Cold Milk,2,8,4
Food and Drink,Cold Noodle Soup,3,14,4
Food and Drink,Cold Pizza,2,9,4
Food and Drink,Cold Pork Pies,3,12,4
Food and Drink,Cold- Pressed Apple Cider,4,21,4
Food and Drink,Cold Slushy Limeade,3,17,4
Food and Drink,Cold Soup Made With Buttermilk & Potatoes,6,34,4
Food and Drink,Cold Soup Made With Buttermilk And Potatoes,7,37,4
Food and Drink,Cold Spaghetti,2,13,4
Food and Drink,Cold-Brew Coffee Floats,3,20,8
Food and Drink,Cold-Brew Iced Tea,3,15,8
Food and Drink,Cold-Brewed Coffee,2,16,10
Food and Drink,Cold-Brewed Coffee Floats,3,22,10
Food and Drink,Cold-Brewed Iced Coffee,3,20,10
Food and Drink,Cold-Pressed Apple Cider,3,21,11
Food and Drink,Cole Slaw,2,8,4
Food and Drink,Coleslaw,1,8,8
Food and Drink,Coleslaw With Caraway & Raisins,4,26,8
Food and Drink,Coleslaw With Crunchy Walnuts,4,26,8
Food and Drink,Collard Greens,2,13,7
Food and Drink,Collard Greens Sauteed In Olive Oil,6,30,7
Food and Drink,Collard Greens With Pork Fatback,5,28,7
Food and Drink,Colorful Cake,2,12,8
Food and Drink,Colorful Fruit Platter,3,20,8
Food and Drink,Colossal Beef,2,12,8
Food and Drink,Colossal Cupcakes,2,16,8
Food and Drink,Communal Hot Pot,3,14,8
Food and Drink,Communion Wafers,2,15,9
Food and Drink,Concord Grapes,2,13,7
Food and Drink,Condiments,1,10,10
Food and Drink,Contemporary Island Cuisine,3,25,12
Food and Drink,Continental Breakfast,2,20,11
Food and Drink,Continental Cuisine,2,18,11
Food and Drink,Conversation Hearts,2,18,12
Food and Drink,Cooked Spiced Meat In Onions,5,24,6
Food and Drink,Cooked Sweetbread,2,16,6
Food and Drink,Cooked Wheat-Flour Dough With Honey,5,30,6
Food and Drink,Cookie & Herb Pastry,3,16,6
Food and Drink,Cookie Dough,2,11,6
Food and Drink,Cookie-Dough Dip,2,14,11
Food and Drink,Cookie-Dough Pie,2,14,11
Food and Drink,Cookies & Milk,2,11,7
Food and Drink,Cookies ‘N' Cream Cupcakes,4,22,7
Food and Drink,Cookies “N” Cream Cupcake,4,22,7
Food and Drink,Cookies “N” Cream Cupcakes,4,23,7
Food and Drink,Cookies And Cream Ice Cream,5,23,7
Food and Drink,Cookies-And-Cream Ice Cream,3,23,15
Food and Drink,Cooking Oil,2,10,7
Food and Drink,Cooking Sherry,2,13,7
Food and Drink,Cool Drink,2,9,4
Food and Drink,Cool Drinks,2,10,4
Food and Drink,Cool Ranch Doritos,3,16,4
Food and Drink,Cool Refreshments,2,16,4
Food and Drink,Cool Treats,2,10,4
Food and Drink,Coppa Prosciutto & Cooked Ham,4,24,5
Food and Drink,Copper River Sockeye,3,18,6
Food and Drink,Cored Apples,2,11,5
Food and Drink,Coriander & Diced Tomatoes,3,22,9
Food and Drink,Corked Wine,2,10,6
Food and Drink,Corn & Black- Bean Salsa,4,18,4
Food and Drink,Corn & Black-Bean Salsa,3,18,4
Food and Drink,Corn & Cucumber Salsa,3,17,4
Food and Drink,Corn & Pepper Salsa,3,15,4
Food and Drink,Corn & Salmon Chowder,3,17,4
Food and Drink,Corn & Sausage Chowder,3,18,4
Food and Drink,Corn & Wheat Tortillas,3,18,4
Food and Drink,Corn And Black- Bean Salsa,5,21,4
Food and Drink,Corn And Soybean,3,14,4
Food and Drink,Corn Beans & Peppers,3,16,4
Food and Drink,Corn Bread Dressing,3,17,4
Food and Drink,Corn Bread Stuffing,3,17,4
Food and Drink,Corn Chips,2,9,4
Food and Drink,Corn Chowder With Wild Rice,5,23,4
Food and Drink,Corn Dog,2,7,4
Food and Drink,Corn Dogs,2,8,4
Food and Drink,Corn Dogs & French Fries,4,19,4
Food and Drink,Corn Flakes,2,10,4
Food and Drink,Corn Flour,2,9,4
Food and Drink,Corn Fritters,2,12,4
Food and Drink,Corn Kernels,2,11,4
Food and Drink,Corn Muffins,2,11,4
Food and Drink,Corn On The Cob,4,12,4
Food and Drink,Corn On The Cob On A Stick,7,20,4
Food and Drink,Corn On The Cob On The Grill,7,22,4
Food and Drink,Corn On The Cob With Butter Sauce,7,27,4
Food and Drink,Corn On The Cob With Grated Cheese,7,28,4
Food and Drink,Corn Pudding,2,11,4
Food and Drink,Corn Tortillas,2,13,4
Food and Drink,Corn With Spices & Butter,4,20,4
Food and Drink,Cornbread & Apple Stuffing,3,22,9
Food and Drink,Cornbread & Cranberries,2,20,9
Food and Drink,Cornbread Biscuits,2,17,9
Food and Drink,Cornbread Seasoned With Fennel,4,27,9
Food and Drink,Cornbread Stuffing,2,17,9
Food and Drink,Corned Beef,2,10,6
Food and Drink,Corned Beef And Cabbage,4,20,6
Food and Drink,Corned Beef Hash,3,14,6
Food and Drink,Corned Beef On Rye,4,15,6
Food and Drink,Corned Beef Sandwich,3,18,6
Food and Drink,Corned Beef With Vegetables,4,24,6
Food and Drink,Corned-Beef Hash,2,14,10
Food and Drink,Corned-Beef Sandwich,2,18,10
Food and Drink,Corned-Beef Sandwich With Mustard,4,29,10
Food and Drink,Cornflake-Crusted Pork Chops,3,25,16
Food and Drink,Cornish Game Hens,3,15,7
Food and Drink,Cornish Game Hens And Wild Rice,6,26,7
Food and Drink,Cornish Pastry,2,13,7
Food and Drink,Cornish Pasty,2,12,7
Food and Drink,Cornmeal Biscuits With Melted Butter,5,32,8
Food and Drink,Cornmeal Cakes,2,13,8
Food and Drink,Cornmeal Muffins With Butter,4,25,8
Food and Drink,Cornmeal Mush,2,12,8
Food and Drink,Cornmeal Pastry,2,14,8
Food and Drink,Cottage Cheese,2,13,7
Food and Drink,Cottage Cheese Muffin,3,19,7
Food and Drink,Cottage Cheese With Raspberry Jam,5,29,7
Food and Drink,Cottage-Cheese Muffins,2,20,13
Food and Drink,Cotton Candy,2,11,6
Food and Drink,Cotton Candy & Saltwater Taffy,4,25,6
Food and Drink,Cotton-Candy Lollipops,2,20,11
Food and Drink,Country Biscuits,2,15,7
Food and Drink,Country Fried Chicken,3,19,7
Food and Drink,Country Fried Steak,3,17,7
Food and Drink,Country Fried Steak & Eggs,4,21,7
Food and Drink,Country- Fried Steak Dinner,4,23,7
Food and Drink,Country Ham & Biscuits,3,18,7
Food and Drink,Country Ham With Redeye Gravy,5,25,7
Food and Drink,Country Style Biscuits & Gravy,4,25,7
Food and Drink,Country-Fried Chicken,2,19,12
Food and Drink,Country-Fried Steak & Eggs,3,21,12
Food and Drink,Country-Fried Steak Dinner,3,23,12
Food and Drink,Country-Style Biscuits & Gravy,3,25,12
Food and Drink,Course Sea Salt & Ground White Pepper,6,30,6
Food and Drink,Couscous Salad,2,13,8
Food and Drink,Crab- Brown Bagel Cake,4,18,4
Food and Drink,Crab- Brown Baked Cake,4,18,4
Food and Drink,Crab Cakes,2,9,4
Food and Drink,Crab Cakes With Peanut Sauce,5,24,4
Food and Drink,Crab Legs,2,8,4
Food and Drink,Crab Linguine,2,12,4
Food and Drink,Crab Marinated In Soy Sauce,5,23,4
Food and Drink,Crab Pie,2,7,4
Food and Drink,Crab Ravioli,2,11,4
Food and Drink,Crab Rigatoni,2,12,4
Food and Drink,Crab Salad,2,9,4
Food and Drink,Crab Shell Cake,3,13,4
Food and Drink,Crab Sticks,2,10,4
Food and Drink,Crab Wontons,2,11,4
Food and Drink,Crab-And- Spinach Quiche,3,20,7
Food and Drink,Crabapples,1,10,10
Food and Drink,Crab-Brown Bake Cake,3,17,9
Food and Drink,Crab-Brown Baked Cake,3,18,9
Food and Drink,Crabmeat & Corn Soup,3,16,8
Food and Drink,Crabmeat Omelet,2,14,8
Food and Drink,Crabmeat Stuffing,2,16,8
Food and Drink,Crab-Shell Cake,2,13,9
